param_name,param_value,converged,m_dot_gs,P_high_kPa,P_low_kPa,T_wall_max_C,Q_evap_W,Q_cond_W,W_pump_W,COP,pump_dP_kPa,HTC_avg,x_out,T_wall_avg_C,dP_evap_kPa,G_ch,subcooling_K,dP_cond_kPa,NTU,charge_ratio_pct
charge_ratio,0.6,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,60.0
charge_ratio,0.6333333333333333,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,63.33333333333333
charge_ratio,0.6666666666666666,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,66.66666666666666
charge_ratio,0.7,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,70.0
charge_ratio,0.7333333333333334,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,73.33333333333334
charge_ratio,0.7666666666666666,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,76.66666666666666
charge_ratio,0.8,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,80.0
charge_ratio,0.8333333333333334,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,83.33333333333334
charge_ratio,0.8666666666666667,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,86.66666666666667
charge_ratio,0.9,True,2.6552470604485285,571.8636676938402,571.7069445682912,134.52747815796943,605.0000000000001,535.7665502328489,0.0004220381523482572,1433519.6868665244,0.15675864936108702,1750.7779369612301,1.0,95.56228586817622,0.1305400680650067,48.27721928088233,13.878420523270563,0.026183057483985382,2.5920894338653775,90.0
