param_name,param_value,converged,m_dot_gs,P_high_kPa,P_low_kPa,T_wall_max_C,Q_evap_W,Q_cond_W,W_pump_W,COP,q_flux_W_m2,q_flux_W_cm2,pump_dP_kPa,HTC_avg,x_out,T_wall_avg_C,dP_evap_kPa,G_ch,subcooling_K,dP_cond_kPa,NTU
q_flux,50000.0,True,1.3276235302242643,571.7454148153449,571.7069110695452,119.68934696926976,302.50000000000006,269.49944293192914,5.183415542681168e-05,5835920.302147515,50000.0,5.0,0.0385057708658278,1005.5543662617572,1.0,85.77337631125874,0.03128522051950396,24.138609640441164,14.744309022947789,0.00721852528020493,4.070266654310862
q_flux,68181.81818181818,True,1.8103957230330874,571.7755652156687,571.7069161291339,126.0724828172855,412.5,366.7799880230065,0.00012602838135800876,3273072.2679696367,68181.81818181818,6.8181818181818175,0.06865617118962108,1288.738492290942,1.0,89.98463839882652,0.055801171493671094,32.91628587332886,14.461698734645893,0.012847915041118423,3.3260853739639
q_flux,86363.63636363635,True,2.2931679158419107,571.8250237951368,571.7069295432859,131.21369744916734,522.5,463.53424650638294,0.00027463460415094086,1902527.9120064229,86363.63636363635,8.636363636363635,0.11811475065757986,1557.023998030769,1.0,93.37630020195638,0.098156887749802,41.69396210621655,14.13484729620859,0.019937364100979287,2.8516704029884923
q_flux,104545.45454545454,True,2.7759401086507345,571.8773463791381,571.7069510250935,135.55184984509458,632.5000000000001,559.7836446921922,0.0004797225011440347,1318470.5709897368,104545.45454545454,10.454545454545455,0.1704373346589273,1814.159070478947,1.0,96.2380018462373,0.1419568825837618,50.47163833910426,13.792355697140124,0.028438471460677867,2.5181526044452927
q_flux,122727.27272727272,True,3.2587123014595574,571.9372694215316,571.7069858508559,139.32484766100708,742.5,655.5685426365014,0.0007611479187175143,975500.2697124432,122727.27272727272,12.272727272727272,0.23036037705244963,2062.456872805638,1.0,98.7266769467368,0.19197012824621573,59.24931457199195,13.450011654546188,0.038313442429499085,2.2685472481876396
q_flux,140909.09090909088,True,3.7414844942683794,572.0057014171521,571.7070385049462,142.67631045784765,852.4999999999999,750.9328865737587,0.001133518780677579,752082.8190340211,140909.09090909088,14.090909090909088,0.298792372672935,2303.478163569173,1.0,100.93706834790441,0.2491315044346747,68.02699080487962,13.116136359601057,0.04953140777122364,2.0734223749453617
q_flux,159090.9090909091,True,4.2242566870772045,572.0826034623606,571.7071140639158,145.7000910143713,962.5000000000001,845.9184472852058,0.0016091639923644912,598136.6750480859,159090.9090909091,15.909090909090908,0.37569441788143015,2538.3422065152818,1.0,102.93109119695237,0.31342303540905225,76.80466703776735,12.794880269698695,0.06206636303571117,1.9159068262543792
q_flux,177272.72727272726,True,4.707028879886027,572.1679089452861,571.7072181968288,148.46116321687975,1072.5,940.5629368895601,0.002200204042481982,487454.7902339757,177272.72727272726,17.727272727272727,0.46099990080692804,2767.8880678202972,1.0,104.75160787223126,0.3847948479665658,85.58234327065503,12.488077202457077,0.07589590049084895,1.7855741780112184
q_flux,195454.54545454544,True,5.18980107269485,572.2615582300728,571.7073571539327,151.00650055818886,1182.5,1034.8996740344476,0.002918665701315228,405150.8877728389,195454.54545454544,19.545454545454543,0.5546491855935892,2992.7663751612936,1.0,106.42960500119318,0.463200701563669,94.36001950354273,12.196275953026941,0.09100037457639348,1.675602900498431
q_flux,213636.36363636362,True,5.672573265503674,572.3634987662197,571.7075377589968,153.37124014094286,1292.5,1128.957840774977,0.0037764997236059273,342248.13838087034,213636.36363636362,21.363636363636363,0.6565897217405727,3213.4952522748313,1.0,107.98826024666653,0.5485986829608196,103.13769573643043,11.919319370952678,0.107362324262119,1.5813256436517802
q_flux,231818.1818181818,True,6.155345458312497,572.473683802969,571.7077674025219,155.58239907362912,1402.5,1222.7629340599274,0.004785590166396024,293067.3023043692,231818.1818181818,23.18181818181818,0.7667747584899189,3430.496290375663,1.0,109.44539424473237,0.6409503432716377,111.91537196931812,11.656673432186722,0.12496605717550555,1.4994314853917836
q_flux,250000.0,True,6.638117651121322,572.5920713345192,571.7080540354843,157.6612285944401,1512.5000000000002,1316.3372484321455,0.0059577614846047285,253870.51897065798,250000.0,25.0,0.8851622900400543,3644.1186942806453,1.0,110.81502375706572,0.7402199584599045,120.69304820220584,11.407616061176611,0.14379734057487845,1.4275007074060133
