param_name,param_value,converged,m_dot_gs,P_high_kPa,P_low_kPa,T_wall_max_C,Q_evap_W,Q_cond_W,W_pump_W,COP,q_flux_W_m2,q_flux_W_cm2,pump_dP_kPa,HTC_avg,x_out,T_wall_avg_C,dP_evap_kPa,G_ch,subcooling_K,dP_cond_kPa,NTU,T_coolant,T_coolant_C
q_flux,50000.0,True,1.2853833031001651,457.8052893439553,457.7618214592662,119.69763966853452,302.50000000000006,268.2493588063187,5.553857904317773e-05,5446664.376573723,50000.0,5.0,0.04347119358635973,973.4538135485788,1.0,78.15577859332143,0.036699422367196734,23.370605510912092,14.79729733069803,0.006768462321893203,4.301860629542255,271.15,-2.0
q_flux,50000.0,True,1.315031188808614,537.2164938794032,537.1767099426739,119.73639502276194,302.50000000000006,269.1255897115636,5.2742342816947306e-05,5735429.710619529,50000.0,5.0,0.039786255950224586,999.6817753396408,1.0,83.67126832563793,0.03270184809926067,23.90965797833843,14.760791909760314,0.007082088630095344,4.136744599549934,276.15,3.0
q_flux,50000.0,True,1.3473790467961928,626.6565490628374,626.6197813205487,124.6761702334071,302.50000000000006,270.08795664563553,5.0683124325937534e-05,5968456.049683445,50000.0,5.0,0.03676940601307433,1016.8545546691485,1.0,88.94412996487688,0.029331359505134044,24.49780085083987,14.717288999866412,0.007436382783563359,3.9700186095153738,281.15,8.0
q_flux,50000.0,True,1.3828709382679265,726.9151632622003,726.8808470691872,132.84466035455262,302.50000000000006,271.1512485681457,4.9303602798752725e-05,6135454.263550344,50000.0,5.0,0.034317414067336356,1043.3467724499867,1.0,94.26365765783817,0.026476929012133634,25.143107968507753,14.665242828954376,0.007839264000997248,3.801319948241038,286.15,13.0
q_flux,50000.0,True,1.422058132130654,838.8089425615614,838.7765905416856,130.98739299525175,302.50000000000006,272.33395521365964,4.857864300129289e-05,6227016.2629275005,50000.0,5.0,0.03235293655504938,1085.4035893913845,1.0,98.853616876393,0.02405111642681689,25.855602402375524,14.602692209268355,0.008300903448982516,3.6302326097850828,291.15,18.0
q_flux,80000.0,True,2.056613284960264,457.8749793673816,457.76184273398025,130.2242308287759,484.00000000000006,427.9841991581885,0.00023131872588481926,2092351.1408280823,80000.0,8.0,0.11316121701267548,1417.8200080386896,1.0,84.58389108967526,0.09692157491872262,37.39296881745934,14.369670026729864,0.016215058482594323,3.1679105866404433,271.15,-2.0
q_flux,80000.0,True,2.1040499020937817,537.2803493675179,537.176724946473,129.75716286326713,484.00000000000006,429.2096398790314,0.00021982700367525243,2201731.324669316,80000.0,8.0,0.10364174406498206,1455.9876230637176,1.0,90.14853003058005,0.08665800586860224,38.25545276534149,14.287955627156293,0.016966415176423492,3.0463186969433056,276.15,3.0
q_flux,80000.0,True,2.1558064748739088,626.7156514622988,626.6197921591054,134.7039930332682,484.00000000000006,430.5440624919113,0.0002114402450551671,2289062.8029385754,80000.0,8.0,0.09587180547439493,1481.0058569199905,1.0,95.44757046119787,0.07804410221432939,39.19648136134379,14.194744883108513,0.017815200979000505,2.9235410820874583,281.15,8.0
q_flux,80000.0,True,2.212593501228682,726.970417265218,726.880855084187,143.18370843306366,484.00000000000006,432.005240068116,0.00020589866410868968,2350670.9093775684,80000.0,8.0,0.08957141708501148,1519.5965111234439,1.0,100.79802677058098,0.07078179265077258,40.228972749612396,14.088052893026486,0.018780388380159902,2.799310657783098,286.15,13.0
q_flux,80000.0,True,2.275293011409046,838.8611198667771,838.7765966061376,140.6495193641369,484.00000000000006,433.61527874322627,0.00020307841575042992,2383315.8152799676,80000.0,8.0,0.08453024177078623,1580.858911609235,1.0,105.34672271231557,0.06463691564349008,41.36896384380084,13.965445587242186,0.019886344996019288,2.673321087001805,291.15,18.0
q_flux,110000.0,True,2.8278432668203632,457.9742854711187,457.7619012489652,137.94853279546817,665.5000000000001,586.484216934238,0.0005971838049729296,1114397.2667345982,110000.0,11.0,0.21246732074976898,1829.2673471657733,1.0,89.30054770211484,0.18307493572458788,51.4153321240066,13.859232100382599,0.02930928642883069,2.5747557453681735,271.15,-2.0
q_flux,110000.0,True,2.8930686153789504,537.3706713559342,537.1767658447537,137.096530025241,665.5000000000001,587.9475758999029,0.000565678351535084,1176463.6178740615,110000.0,11.0,0.19396373248123563,1878.450411771467,1.0,94.89984353199316,0.16323810909493502,52.60124755234455,13.740398981107091,0.030667402085596134,2.4759309289296443,276.15,3.0
q_flux,110000.0,True,2.964233902951624,626.7985649729275,626.6198214214431,142.05943462039522,665.5000000000001,589.5322223155721,0.0005421647682061497,1227486.6221977635,110000.0,11.0,0.17878531610313803,1910.7403489131477,1.0,100.21749507504336,0.14654192468171584,53.8951618718477,13.607919321590032,0.0322016268025084,2.3761422358696125,281.15,8.0
q_flux,110000.0,True,3.0423160641894382,727.04725317334,726.8808765126463,150.7663795542698,665.5000000000001,591.2575964268681,0.0005259678782079876,1265286.3940425583,110000.0,11.0,0.16640732520702295,1960.539011568612,1.0,105.59016526744108,0.13243040587506164,55.31483753071706,13.459751262427403,0.03394625481859302,2.275172612259444,286.15,13.0
q_flux,110000.0,True,3.128527890687438,838.9330243648786,838.7766126667816,147.73512543157648,665.5000000000001,593.1478554775115,0.0005167584157414064,1287835.8237188847,110000.0,11.0,0.15643473987234757,2039.5923011401853,1.0,110.1079319916098,0.12046636560204053,56.882325285226145,13.293429159284699,0.035945332495063,2.172773093270535,291.15,18.0
q_flux,140000.0,True,3.5990732486804626,458.0963614057297,457.7620246930334,144.14209249457548,847.0000000000001,743.8610319328125,0.0011967502015800243,707750.0374612329,140000.0,14.0,0.33454325536073887,2218.618314198237,1.0,93.08217997826972,0.2884490308202495,65.43769543055386,13.34177797696185,0.04588768187599508,2.20065016170375,271.15,-2.0
q_flux,140000.0,True,3.682087328664119,537.4820406619286,537.1768523169827,142.96820128091974,847.0000000000001,745.4881907419949,0.0011333346737765052,747352.0572503277,140000.0,14.0,0.3053330384755973,2278.1792317819722,1.0,98.70801545907216,0.2571743316990364,66.94704233934762,13.195155391895582,0.04801401324682544,2.1161847777985483,276.15,3.0
q_flux,140000.0,True,3.7726613310293393,626.9011473569147,626.6198834400176,147.9547040338951,847.0000000000001,747.2439205852233,0.0010859480171031154,779963.6692182237,140000.0,14.0,0.281367700090399,2317.359158826604,1.0,104.04009374185836,0.23084784645170509,68.59384238235162,13.034047165902734,0.050416070445478064,2.030895382376124,281.15,8.0
q_flux,140000.0,True,3.872038627150194,727.1426643529298,726.8809220402471,156.84283185202605,847.0000000000001,749.1488026913973,0.0010532281806987203,804194.2055121363,140000.0,14.0,0.26181850479682905,2377.771036700623,1.0,109.4301737914509,0.20859476583121733,70.4007023118217,12.856478604344545,0.053147546851386465,1.9445964849075799,286.15,13.0
q_flux,140000.0,True,3.9817627699658305,839.0226509430574,838.7766468720815,153.41270989656584,847.0000000000001,751.2284212718273,0.0010345060868262252,818748.2034045083,140000.0,14.0,0.2460613180511864,2473.6698452994046,1.0,113.92254066591403,0.1897266665390034,72.39568672665146,12.660085589121422,0.05627740443690013,1.8570753110657796,291.15,18.0
q_flux,170000.0,True,4.370303230540562,458.24464287924513,457.7622493134662,149.35862063681452,1028.5000000000002,900.2698792478365,0.0020973051423682624,490391.2068983082,170000.0,17.0,0.4828247288762359,2591.5532333389865,1.0,96.26687880889722,0.41656114502567576,79.46005873710111,12.84683019647565,0.0658324207533163,1.939346078395149,271.15,-2.0
q_flux,170000.0,True,4.4711060419492865,537.6172835635397,537.1770096507058,147.899053192167,1028.5000000000002,902.0111212922235,0.001985756709886533,517938.5746901336,170000.0,17.0,0.4405759400866227,2660.9974011676773,1.0,101.91368595966765,0.37139094514115245,81.29283712635066,12.679816679620899,0.06888296769253098,1.8649105467654064,276.15,3.0
q_flux,170000.0,True,4.581088759107056,627.0256865116587,626.6199962697303,152.917173227513,1028.5000000000002,903.8856628494451,0.0019023134008589973,540657.4960443305,170000.0,17.0,0.4059068548344076,2706.787625892824,1.0,107.25736496161187,0.3333611555648543,83.29252289285554,12.498157749116046,0.07232908636340164,1.7897486441550385,281.15,8.0
