param_name,param_value,converged,m_dot_gs,P_high_kPa,P_low_kPa,T_wall_max_C,Q_evap_W,Q_cond_W,W_pump_W,COP,q_flux_W_m2,q_flux_W_cm2,pump_dP_kPa,HTC_avg,x_out,T_wall_avg_C,dP_evap_kPa,G_ch,subcooling_K,dP_cond_kPa,NTU,fluid
q_flux,50000.0,True,1.3276235302242643,571.7454148153449,571.7069110695452,119.68934696926976,302.50000000000006,269.49944293192914,5.183415542681168e-05,5835920.302147515,50000.0,5.0,0.0385057708658278,1005.5543662617572,1.0,85.77337631125874,0.03128522051950396,24.138609640441164,14.744309022947789,0.00721852528020493,4.070266654310862,R134a
q_flux,68750.0,True,1.8254823540583631,571.7769309625135,571.7069164379706,126.24884178922082,415.93750000000006,369.8115022312908,0.00012960653660370282,3209232.4268474965,68750.0,6.875,0.07002191803429741,1297.3229984694804,1.0,90.10098645270546,0.05696687738431728,33.1905882556066,14.45196264037861,0.013047647158550163,3.30816439268809,R134a
q_flux,87500.0,True,2.3233411778924626,571.8281720586814,571.7069305803689,131.50520794024095,529.3750000000001,469.564254318025,0.0002856647230430132,1853133.9619428294,87500.0,8.75,0.12126301420223899,1573.3924175629131,1.0,93.56860374554242,0.10081371675834047,42.242566870772045,14.113684832159834,0.020427761554106152,2.8275054701932634,R134a
q_flux,106250.0,True,2.8212000017265613,571.8826061251825,571.7069536576598,135.9268477218294,642.8125000000001,568.7825301642284,0.0005025898161995736,1279000.248872423,106250.0,10.625,0.1756970807033358,1837.7839687224018,1.0,96.48536151200119,0.14634605870515655,51.294545485937476,13.760083687923384,0.02930640881748529,2.4917786171485683,R134a
q_flux,125000.0,True,3.319058825560661,571.9453579469723,571.7069913593189,139.7645443038412,756.2500000000001,667.5111947615609,0.0008024639680798693,942409.9150639129,125000.0,12.5,0.23844890249322634,2092.9561219027755,1.0,99.01668449862916,0.19872377080560796,60.34652410110292,13.407698636776388,0.03964281684783323,2.241609148621955,R134a
q_flux,143750.0,True,3.8169176493947594,572.0171607806946,571.7070486640278,143.16845814954866,869.6875000000001,765.7983394847129,0.0012007214638251628,724304.1173174492,143750.0,14.375,0.3102517362154322,2340.5575247426905,1.0,101.26163158689008,0.25870832903027374,69.39850271626834,13.06504121010829,0.05140378763648918,2.0466526051047147,R134a
q_flux,162500.0,True,4.314776473228858,572.0979600396375,571.7071312317436,146.23618690424126,983.1250000000001,863.689205077182,0.001710830408610823,574647.8406344716,162500.0,16.25,0.3910509951583808,2581.7653673183945,1.0,103.2845882438196,0.32626739127773424,78.45048133143378,12.73622407252708,0.06456141661615405,1.8896425712458609,R134a
q_flux,181250.0,True,4.812635297062958,572.1876836795038,571.7072453899339,149.03501859927587,1096.5625000000002,961.2243212010787,0.002346063496804378,467405.2946536404,181250.0,18.125,0.480774635024718,2817.4592968954835,1.0,105.12994319910797,0.4013465910719925,87.50245994659923,12.422961173782483,0.07909169849803499,1.759966509343419,R134a
q_flux,200000.0,True,5.310494120897057,572.2862679754994,571.7073981216466,151.61344409020933,1210.0000000000002,1058.4392764968306,0.0031195927470774017,387871.14155640727,200000.0,20.0,0.5793589310202515,3048.3197035211533,1.0,106.82968377589725,0.48389623966937945,96.55443856176466,12.125661360354798,0.09497361418338311,1.6507103658127573,R134a
q_flux,50000.0,True,1.6209786416238787,591.7696784297597,591.7209703004385,118.34181392189129,302.50000000000006,273.79380072775734,8.83544230173776e-05,3423710.8870090656,50000.0,5.0,0.04871114586875774,1111.6477251172223,1.0,82.17021574407664,0.037597215336840746,29.472338938615973,14.324413445824916,0.011110913984316389,3.0993118642131936,R1234yf
q_flux,68750.0,True,2.228845632232833,591.8175538268791,591.720980670856,124.8144500162552,415.93750000000006,374.8437357066375,0.00024089027616886968,1726667.869766641,68750.0,6.875,0.09658654298819601,1434.2127779385287,1.0,86.26212280887427,0.07648975164458031,40.52446604059696,13.79297828021879,0.02008340437864134,2.5190051714914836,R1234yf
q_flux,87500.0,True,2.836712622841788,591.8780182999086,591.7210007556237,130.00076806192834,529.3750000000001,475.0006873854353,0.0004985155943233683,1061902.588460682,87500.0,8.75,0.15705101601767818,1739.431101430946,1.0,89.54076534030628,0.12557419256323604,51.57659314257796,13.259595318482695,0.03144335172170374,2.1530041769643153,R1234yf
