Temperature_sat,Pressure_sat,Density_liq,Density_vap,SpecificHeat_liq,SpecificHeat_vap,SoundVel_liq,SoundVel_vap,LatentHeat_liqvap,ThConduc_liq,ThConduc_vap,EleConduc_liq,EleConduc_vap,RelPermittivity_liq,RelPermittivity_vap,ViscosityDyn_liq,ViscosityDyn_vap,Surface_tension,Enthalpy_liq,Enthalpy_vap,Entropy_liq,Entropy_vap
263.15,,,,,,,,,,,,,,,,,,,,,
268.9394736842105,,,,,,,,,,,,,,,,,,,,,
274.728947368421,685.0167127327609,999.8771524525595,0.0054060177400489596,4214.773980793226,1885.9151889955635,1410.0391798760197,410.1361137682363,2497175.5575911826,0.5595505443000106,0.016861446028316178,,,,,0.0016975462019080667,8.990803971662287e-06,0.07548802233264959,6617.395398081893,2503792.9529892644,24.153552311474122,9113.751068376505
280.51842105263154,1027.717216137492,999.8376867112631,0.007944599151562828,4200.295659970246,1891.888176204903,1436.322849114306,414.2946462783369,2483422.813360932,0.5730593845590218,0.017238388946060258,,,,,0.0014113291623198837,9.1600171024607e-06,0.07467172152308582,30974.11813423809,2514396.93149517,111.88889116847803,8964.86476363353
286.30789473684206,1513.6437723492395,999.3129400428501,0.011466924664344291,4190.976268945391,1898.1493839966945,1459.1639641122529,418.39855679077226,2469710.989771316,0.5851471094053399,0.01762284588627499,,,,,0.001195366957021525,9.333690350618973e-06,0.07383399459356307,55263.10057274675,2524974.0903440625,197.59215491716614,8823.658830589682
292.09736842105264,2191.062298735793,998.3729819650404,0.01627426554929497,4185.13833255149,1904.6815942725661,1478.9033005581514,422.44878047707965,2456010.7775339256,0.5960761862747634,0.018014956269780415,,,,,0.001028003719048749,9.511360002277608e-06,0.07297515271623312,79509.01247216202,2535519.7900060876,281.42991111056824,8689.62198353534
297.88684210526316,3120.538368552679,997.07047477629,0.02273496993261737,4181.710653778589,1911.5054441813127,1495.8300900930465,426.4452255916664,2442299.9488100703,0.6060289139675493,0.018414924049232173,,,,,0.0008953996890165444,9.692606935807942e-06,0.07209551161837593,103728.74106660513,2546028.6898766756,363.5324704507718,8562.283148894767
303.6763157894737,4376.9797321325495,995.4461027081904,0.031293160069229775,4179.983017336373,1918.6790536169412,1510.1948890880733,430.3867713886664,2428560.605358838,0.6151340079182608,0.01882302645932115,,,,,0.0007883692222078567,9.877048560467597e-06,0.0711953917525803,127934.10900605895,2556494.714364897,444.0057169635645,8441.206944347068
309.4657894736842,6051.786600398757,993.5319988975756,0.04247742131463284,4179.479255009011,1926.2934185611616,1522.21808682026,434.27136658923365,2414777.4838743247,0.6234838366175056,0.019239620832414584,,,,,0.0007006141144462526,1.0064332620500532e-05,0.07027511847672631,152133.5615818655,2566911.04545619,522.9384540414414,8325.989925356607
315.2552631578947,8255.079802934539,991.3540030762466,0.05690933284771252,4179.88376076945,1934.4653164037327,1532.0952521539962,438.09619279971395,2400936.841990592,0.6311458702945101,0.019665149423896206,,,,,0.000627692170164935,1.025413248011242e-05,0.06933502224452759,176333.2929222004,2577270.134912792,600.4072711403173,8216.257417274488
321.04473684210524,11117.971095697481,988.933202483511,0.07531170528812323,4180.994424284389,1943.3295604943598,1540.000605367895,441.85785426768837,2387025.69603941,0.6381704185989466,0.020100142239735753,,,,,0.0005663917846426414,1.0446143590174322e-05,0.0683754388074632,200538.0313133815,2587563.7273527915,676.4798948997244,8111.660796847768
326.83421052631576,14794.841464485664,986.2870146458135,0.09851641264782349,4182.690179930658,1953.0321520663153,1546.0894756848345,445.55256012000035,2373031.287849833,0.6445959238407117,0.020545217921576132,,,,,0.0005143399464083536,1.0640080899172333e-05,0.06739670942901259,224751.59789915368,2597782.8857489866,751.2175404155652,8011.875119768837
332.6236842105263,19465.59050905518,983.4299667664203,0.12747173411963,4184.907642094828,1963.725358353095,1550.500234531758,449.17627482391026,2358940.707410386,0.6504526103371232,0.021001082812142375,,,,,0.000469749229636652,1.0835677016406389e-05,0.0663991811121977,248977.30544483906,2607918.012855225,824.6765705515912,7916.597018156697
338.41315789473686,25337.82406522265,980.3742680965522,0.16324915332938553,4187.623958458471,1975.5651458156028,1553.3559563769495,452.7248241725607,2344740.624365411,0.6557650105368499,0.021468528388063655,,,,,0.00043125015485004066,1.1032680969931337e-05,0.06538320684154021,273218.2406092055,2617958.864974616,896.9096645984689,7825.542815129612
344.2026315789474,32648.946595226018,977.1302374252233,0.20704959701018688,4190.8441944590095,1988.7108375766788,1554.7659240537862,456.193955238874,2330417.097209064,0.6605537144590637,0.021948427302245832,,,,,0.00039777745581102855,1.1230857428777431e-05,0.06434914584065687,297477.46041780635,2627894.55762687,967.9666363014684,7738.446822692818
349.9921052631579,41668.13071073406,973.7066269599604,0.26020912972781657,4194.592130114674,2003.3264268588819,1554.8270254351623,459.5793577549085,2315955.4397734203,0.6648365774610139,0.022441728319763005,,,,,0.00036849124649982677,1.1429986280996549e-05,0.06329736384684675,321758.12569611054,2637713.565469531,1037.8950020238199,7655.059803590017
355.7815789473684,52698.13842432632,970.1108707126244,0.32420415454621937,4198.903658542058,2019.582709697697,1553.6250553430677,462.87666023630436,2301340.13214226,0.6686295481695889,0.022949450457848942,,,,,0.0003427213018735947,1.1629862477663652e-05,0.062228233404171295,346063.5887142175,2647403.7208564775,1106.7403726231914,7575.147587384305
