Temperature_sat,Pressure_sat,Density_liq,Density_vap,SpecificHeat_liq,SpecificHeat_vap,SoundVel_liq,SoundVel_vap,LatentHeat_liqvap,ThConduc_liq,ThConduc_vap,EleConduc_liq,EleConduc_vap,RelPermittivity_liq,RelPermittivity_vap,ViscosityDyn_liq,ViscosityDyn_vap,Surface_tension,Enthalpy_liq,Enthalpy_vap,Entropy_liq,Entropy_vap
263.15,2091.6539817089033,819.4077884954925,0.03087562788216198,2352.661029277259,1617.6913474482476,1222.6090729723967,288.311592564204,1220606.1427874605,0.20699298547929235,0.012299584064444516,,,,,0.0009636211391697779,8.524970189429712e-06,0.025146423661265273,-190854.82036430057,1029751.3224231598,-635.7464324330998,4002.69606343308
268.9394736842105,3080.2498249850473,813.9576435109127,0.044561883374771176,2377.087091415829,1681.4678534555524,1201.5758340714738,290.7906397883371,1213372.7778297774,0.20588766645396553,0.012737713868471065,,,,,0.0008685971798805729,8.706844387806659e-06,0.02463487674660634,-177163.60737889737,1036209.17045088,-584.2878450643921,3927.406779780004
274.728947368421,4455.604776382781,808.5193042397954,0.06322120600220187,2403.587857872964,1754.9473075756691,1181.013886212737,293.1717689534065,1205850.7492839575,0.20478595748083564,0.013186946384822798,,,,,0.0007860624742012405,8.888674126280953e-06,0.02413141331637611,-163324.64895644257,1042526.1003275149,-533.3836052526099,3855.8544449583023
280.51842105263154,6338.025663068442,803.0875102646451,0.08827203002718761,2432.151262477487,1839.269161801004,1160.9028840422366,295.45167655478815,1198004.5029678114,0.20367825899656605,0.01364778143804944,,,,,0.0007140527753740695,9.070326242992334e-06,0.02363456167563104,-149325.86708730282,1048678.6358805087,-482.9676411408111,3787.7126887721033
286.30789473684206,8875.421552545451,797.6564544447713,0.12142649959347507,2462.756522145424,1935.4676922387996,1141.2158807983765,297.6274106286081,1189798.9970728569,0.2025671171675555,0.014120761862328215,,,,,0.0006509608681403943,9.251654476503813e-06,0.02314290559415533,-135155.2598829213,1054643.7371899355,-432.9783317421324,3722.6842222590676
292.09736842105264,12247.168612603475,792.2198202092312,0.16472730206145375,2495.3766079427423,2044.4207720935885,1121.9205790394578,299.6962159113009,1181200.7024463022,0.2014534933996289,0.01460648338601017,,,,,0.0005954602657418406,9.432500156884735e-06,0.022655084103687533,-120800.94302801891,1060399.7594182834,-383.35831435304993,3660.5011316644254
297.88684210526316,16668.04392910254,786.7708132861414,0.22058555124785026,2529.9806172544418,2166.8068110692634,1102.9804650667743,301.6553124757413,1172178.5316836692,0.20033778856039947,0.015105605626368543,,,,,0.000546448420814448,9.612693207235545e-06,0.022169791326411788,-106251.17765867634,1065927.3540249928,-334.05426589419534,3600.924947687495
303.6763157894737,22392.155267776838,781.3021875500189,0.29181943680923345,2566.5360405036913,2303.0718699335534,1084.355826570079,303.50167040017726,1162704.6333332283,0.1992201714096749,0.015618864224086426,,,,,0.0005030035367701078,9.79205349291769e-06,0.021685776339764547,-91494.38545790201,1071210.2478753263,-285.01666357907413,3543.746308306109
309.4657894736842,29716.79092033839,775.8062645841779,0.3816933815042592,2605.0109245893254,2453.407883728162,1066.0046545086411,305.2318326557677,1152755.002201174,0.19810068403828787,0.016147084168944434,,,,,0.00046435110214256106,9.970392560944772e-06,0.021201843083479225,-76519.15180105546,1076235.8504001184,-236.19952973858753,3488.784107908929
315.2552631578947,38986.11370716157,770.2749464937526,0.4939574985675856,2645.375943629849,2617.742070223399,1047.8834321469424,306.84181509712204,1142309.873218203,0.19697930499102442,0.016691194397913122,,,,,0.00042983754871956964,1.0147515816658532e-05,0.02071685031584042,-61314.21777685846,1080995.6554413445,-187.56016495383207,3435.884093440923
321.04473684210524,50594.6262303993,764.6997214539637,0.6328872262144664,2687.606395891494,2795.737018853334,1029.9478160533415,308.3270866600607,1131353.882382936,0.1958559971389476,0.01725224378703429,,,,,0.0003989092485498102,1.0323225188798788e-05,0.020229711627383656,-45868.46185801399,1085485.4205249222,-139.05887299350906,3384.9169239972757
