Temperature_sat,Pressure_sat,Density_liq,Density_vap,SpecificHeat_liq,SpecificHeat_vap,SoundVel_liq,SoundVel_vap,LatentHeat_liqvap,ThConduc_liq,ThConduc_vap,EleConduc_liq,EleConduc_vap,RelPermittivity_liq,RelPermittivity_vap,ViscosityDyn_liq,ViscosityDyn_vap,Surface_tension,Enthalpy_liq,Enthalpy_vap,Entropy_liq,Entropy_vap
263.15,108450.00574126275,591.8770255549462,3.0116916160272713,2230.9093991809073,1556.9963179998254,1018.1842675193213,196.77958154307478,363537.33333585365,0.102532114054682,0.013361433818316417,,,,,0.00022306553543425937,6.621319200208699e-06,0.013989093880916712,177395.29172450016,540932.6250603538,916.0060309571217,2297.4893421326974
268.9394736842105,134841.0977410859,585.374187616787,3.691959852941245,2260.4609348437293,1592.4099440683099,985.3007796212887,197.48294821901166,358268.133325289,0.10022998182141236,0.01390008067097287,,,,,0.00020841194115330571,6.761553739418579e-06,0.013319932911049753,190417.9997971973,548686.1331224863,964.7875924665793,2296.939129826868
274.728947368421,165930.1872186958,578.7608877240518,4.485202090224696,2291.2022923566683,1629.2434026958817,952.5292296567109,197.99536109503714,352840.10856335895,0.09796418104923411,0.014449945193205605,,,,,0.00019503189937213674,6.902825811405833e-06,0.012654268786348982,203617.96426846395,556458.0728318229,1013.1506650861767,2297.4714909152135
280.51842105263154,202239.11349710956,572.0269573318812,5.404109521728764,2323.2306049762024,1667.6092032788715,919.8494225327685,198.30669538405863,347237.6281973671,0.09573736118051743,0.015012446608862577,,,,,0.00018277658248407025,7.045629930550656e-06,0.011992442801762778,217002.2372976308,564239.8654949979,1061.1340906903897,2298.976607036937
286.30789473684206,244308.9707242892,565.1610427331044,6.462423282596063,2356.6616111833537,1707.641899655418,887.2394793590232,198.40647491106046,341444.01594525797,0.0935518956450626,0.015589318780725458,,,,,0.0001715168728359925,7.190542071713388e-06,0.011334821330969101,230578.33467211484,572022.3506173728,1108.7756823300683,2301.352003912312
292.09736842105264,292698.59944945585,558.1503968970206,7.675112845923162,2391.6347909999404,1749.5054542048397,854.6755124792215,198.28374587079838,335441.3262580168,0.09140988913939221,0.016182657016766758,,,,,0.00016113999746923346,7.338232132041599e-06,0.010681798982892126,244354.31356620608,579795.6398242229,1156.1125623824555,2304.501293411415
297.88684210526316,347983.340347019,550.9806231578631,9.058605016110363,2428.3199397492667,1793.4038390806206,822.1312744551725,197.9269088237158,329210.0735591949,0.08931318307437285,0.01679497474714036,,,,,0.00015154682411487887,7.489480444812516e-06,0.010033802334268342,258338.87202594217,587548.9455851371,1203.1815365956109,2308.3329801185046
303.6763157894737,410754.1035110776,543.6353564755261,10.631077244576495,2466.925740704223,1839.596285264867,789.5777671839962,197.32347348673693,322728.9159129814,0.08726335932183349,0.017429273982934132,,,,,0.00014264966854164097,7.645199689766249e-06,0.009391294379305326,272541.4757397922,595270.3916527736,1250.0195171836863,2312.7593461818237
309.4657894736842,481616.8183742615,536.0958627029619,12.412835301240783,2507.711162668594,1888.4142002751657,756.9827965322471,196.45970619760934,315974.2886205108,0.08526174234422906,0.018089135135211175,,,,,0.00013437049830964754,7.806463974403256e-06,0.008754779881771818,286972.519760459,602946.8083809698,1296.6640129102352,2317.6954140154085
315.2552631578947,561192.355872428,528.3405286532729,14.426805671087891,2551.0009224598916,1940.2676514746481,724.3104573429464,195.32022542454348,308919.92501805536,0.08330939983705947,0.01877883380480607,,,,,0.0001266394435889413,7.974547525925906e-06,0.008124811876489458,301643.535922462,610563.4609405174,1343.1537110886434,2323.0578114153886
